home_code,home_team,home_accent,home_accent_hex,away_code,away_team,away_accent,away_accent_hex,banner,banner_hex,background_hex
ANA,Anaheim Ducks,Ducks Orange,#F47A38,BOS,Boston Bruins,Bruins Gold,#FFB81C,Black,#000000,#000000
ANA,Anaheim Ducks,Ducks Orange,#F47A38,BUF,Buffalo Sabres,Sabres Royal,#003087,Black,#000000,#000000
ANA,Anaheim Ducks,Ducks Orange,#F47A38,CAR,Carolina Hurricanes,Hurricanes Red,#CC0000,Black,#000000,#000000
ANA,Anaheim Ducks,Ducks Orange,#F47A38,CBJ,Columbus Blue Jackets,Union Blue,#002654,Goal Red,#CE1126,#000000
ANA,Anaheim Ducks,Ducks Orange,#F47A38,CGY,Calgary Flames,Flames Red,#C8102E,Black,#000000,#000000
ANA,Anaheim Ducks,Ducks Orange,#F47A38,CHI,Chicago Blackhawks,Blackhawks Red,#CF0A2C,Black,#000000,#000000
ANA,Anaheim Ducks,Ducks Orange,#F47A38,COL,Colorado Avalanche,Burgundy,#6F263D,Steel Blue,#236192,#000000
ANA,Anaheim Ducks,Ducks Orange,#F47A38,DAL,Dallas Stars,Victory Green,#006847,Black,#000000,#000000
ANA,Anaheim Ducks,Ducks Orange,#F47A38,DET,Detroit Red Wings,Wings Red,#CE1126,Black,#000000,#000000
ANA,Anaheim Ducks,Ducks Orange,#F47A38,EDM,Edmonton Oilers,Oilers Navy,#041E42,Black,#000000,#000000
ANA,Anaheim Ducks,Ducks Orange,#F47A38,FLA,Florida Panthers,Panthers Red,#C8102E,Panthers Navy,#041E42,#000000
ANA,Anaheim Ducks,Ducks Orange,#F47A38,LAK,Los Angeles Kings,Kings Black,#111111,Deep Navy,#0A1628,#000000
ANA,Anaheim Ducks,Ducks Orange,#F47A38,MIN,Minnesota Wild,Forest Green,#154734,Iron Range Red,#A6192E,#000000
ANA,Anaheim Ducks,Ducks Orange,#F47A38,MTL,Montreal Canadiens,Habs Red,#AF1E2D,Habs Blue,#192168,#000000
ANA,Anaheim Ducks,Ducks Orange,#F47A38,NJD,New Jersey Devils,Devils Red,#CE1126,Black,#000000,#000000
ANA,Anaheim Ducks,Ducks Orange,#F47A38,NSH,Nashville Predators,Preds Gold,#FFB81C,Preds Navy,#041E42,#000000
ANA,Anaheim Ducks,Ducks Orange,#F47A38,NYI,New York Islanders,Isles Royal,#00539B,Black,#000000,#000000
ANA,Anaheim Ducks,Ducks Orange,#F47A38,NYR,New York Rangers,Rangers Blue,#0038A8,Rangers Red,#CE1126,#000000
ANA,Anaheim Ducks,Ducks Orange,#F47A38,OTT,Ottawa Senators,Sens Red,#C52032,Black,#000000,#000000
ANA,Anaheim Ducks,Ducks Orange,#F47A38,PHI,Philadelphia Flyers,Black,#000000,Deep Navy,#0A1628,#000000
ANA,Anaheim Ducks,Ducks Orange,#F47A38,PIT,Pittsburgh Penguins,Vegas Gold,#FCB514,Black,#000000,#000000
ANA,Anaheim Ducks,Ducks Orange,#F47A38,SEA,Seattle Kraken,Ice Blue,#99D9D9,Deep Sea Blue,#001628,#000000
ANA,Anaheim Ducks,Ducks Orange,#F47A38,SJS,San Jose Sharks,Sharks Teal,#006D75,Black,#000000,#000000
ANA,Anaheim Ducks,Ducks Orange,#F47A38,STL,St. Louis Blues,Blues Blue,#002F87,Black,#000000,#000000
ANA,Anaheim Ducks,Ducks Orange,#F47A38,TBL,Tampa Bay Lightning,Bolts Blue,#002868,Black,#000000,#000000
ANA,Anaheim Ducks,Ducks Orange,#F47A38,TOR,Toronto Maple Leafs,Leafs Blue,#00205B,Black,#000000,#000000
ANA,Anaheim Ducks,Ducks Orange,#F47A38,UTA,Utah Mammoth,Mountain Blue,#7AB2E0,Black,#000000,#000000
ANA,Anaheim Ducks,Ducks Orange,#F47A38,VAN,Vancouver Canucks,Canucks Blue,#00205B,Canucks Green,#00843D,#000000
